Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
209,33315,species,Swamp Sparrow,Melospiza georgiana,1,Miami Whitewater Forest--Shaker Trace Wetlands,US-OH,25 Mar 2020,L210242,S66199519,,1
210,571,species,American Black Duck,Anas rubripes,1,Miami Whitewater Forest--Shaker Trace Wetlands,US-OH,25 Mar 2020,L210242,S66199519,,1
211,7811,species,Black Vulture,Coragyps atratus,1,Alms Park,US-OH,24 Mar 2020,L466097,S66162609,,1
213,673,species,Ring-necked Duck,Aythya collaris,6,Glenwood Gardens,US-OH,19 Mar 2020,L324868,S65970123,,1
214,9253,species,Long-eared Owl,Asio otus,1,Northwestern University (Main Campus and Lakefill),US-IL,08 Mar 2020,L152692,S65580107,,1
216,741,species,Long-tailed Duck,Clangula hyemalis,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 Mar 2020,L161180,S65522097,,1
217,700,species,Lesser Scaup,Aythya affinis,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 Mar 2020,L161180,S65522097,,1
218,501,species,Northern Shoveler,Spatula clypeata,4,Northwestern University (Main Campus and Lakefill),US-IL,23 Feb 2020,L152692,S64897367,,1
219,694,species,Greater Scaup,Aythya marila,20,Millennium Park,US-IL,22 Feb 2020,L1521963,S64861365,,1
220,7391,species,Pelagic Cormorant,Urile pelagicus,1,San Francisco Ferry Building,US-CA,12 Feb 2020,L854587,S64449546,,1
221,6888,species,Western Grebe,Aechmophorus occidentalis,1,San Francisco Ferry Building,US-CA,12 Feb 2020,L854587,S64449546,,1
222,6528,species,Western Gull,Larus occidentalis,2,San Francisco Ferry Building,US-CA,12 Feb 2020,L854587,S64449546,,1
223,31288,species,Orange-cheeked Waxbill,Estrilda melpoda,1,Wyndham Rio Mar,PR-RG,03 Jan 2020,L10386057,S62947880,N,1
224,31050,species,Bronze Mannikin,Spermestes cucullata,10,Wyndham Rio Mar,PR-RG,03 Jan 2020,L10386057,S62947880,N,1
225,4395,species,Puerto Rican Mango,Anthracothorax aurulentus,1,Wyndham Rio Mar,PR-RG,03 Jan 2020,L10386057,S62947880,,1
226,34063,species,Northern Parula,Setophaga americana,1,Sevens Seas Beach Trail - Northeast Ecological Cooridor,PR-FJ,02 Jan 2020,L3976962,S62927365,,1
227,3241,species,Mangrove Cuckoo,Coccyzus minor,1,Sevens Seas Beach Trail - Northeast Ecological Cooridor,PR-FJ,02 Jan 2020,L3976962,S62927365,,1
228,7724,species,Western Cattle-Egret,Ardea ibis,,Wyndham Rio Mar,PR-RG,02 Jan 2020,L10386057,S62902126,,1
229,7645,species,Snowy Egret,Egretta thula,3,Wyndham Rio Mar,PR-RG,02 Jan 2020,L10386057,S62902126,,1
230,7630,species,Tricolored Heron,Egretta tricolor,1,Wyndham Rio Mar,PR-RG,02 Jan 2020,L10386057,S62902126,,1
231,7629,species,Little Blue Heron,Egretta caerulea,2,Wyndham Rio Mar,PR-RG,02 Jan 2020,L10386057,S62902126,,1
232,5770,species,Black-necked Stilt,Himantopus mexicanus,8,Wyndham Rio Mar,PR-RG,02 Jan 2020,L10386057,S62902126,,1
233,2243,species,Common Ground Dove,Columbina passerina,1,Wyndham Rio Mar,PR-RG,02 Jan 2020,L10386057,S62902126,,1
234,1948,species,Scaly-naped Pigeon,Patagioenas squamosa,5,Wyndham Rio Mar,PR-RG,02 Jan 2020,L10386057,S62902126,,1
235,33548,species,Puerto Rican Spindalis,Spindalis portoricensis,3,Bosque Nacional El Yunque--Mt. Britton,PR-RG,01 Jan 2020,L323803,S62845145,,1
236,33539,species,Puerto Rican Tanager,Nesospingus speculiferus,9,Bosque Nacional El Yunque--Mt. Britton,PR-RG,01 Jan 2020,L323803,S62845145,,1
237,4865,species,Puerto Rican Emerald,Riccordia maugaeus,1,Bosque Nacional El Yunque--Mt. Britton,PR-RG,01 Jan 2020,L323803,S62845145,,1
238,28009,species,Pearly-eyed Thrasher,Margarops fuscatus,2,Wyndham Rio Mar,PR-RG,31 Dec 2019,L10386057,S62816643,,1
239,11144,species,Puerto Rican Woodpecker,Melanerpes portoricensis,1,Wyndham Rio Mar,PR-RG,31 Dec 2019,L10386057,S62816643,,1
240,35644,species,Bananaquit,Coereba flaveola,1,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62778345,,1
241,28627,species,Eastern Red-legged Thrush,Turdus ardosiaceus,2,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62778345,,1
242,17474,species,Gray Kingbird,Tyrannus dominicensis,2,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62778345,,1
243,12819,species,Monk Parakeet,Myiopsitta monachus,2,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62778345,N,1
244,7342,species,Brown Booby,Sula leucogaster,1,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62778345,,1
245,33881,species,Greater Antillean Grackle,Quiscalus niger,14,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62768141,,1
246,7792,species,Brown Pelican,Pelecanus occidentalis,3,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62768141,,1
247,7315,species,Magnificent Frigatebird,Fregata magnificens,1,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62768141,,1
248,2393,species,Zenaida Dove,Zenaida aurita,5,Viejo San Juan,PR-SJ,30 Dec 2019,L294049,S62768141,,1
249,770,species,Red-breasted Merganser,Mergus serrator,2,Northwestern University (Main Campus and Lakefill),US-IL,23 Nov 2019,L152692,S61667940,,1
250,331,species,Cackling Goose,Branta hutchinsii,1,Northwestern University (Main Campus and Lakefill),US-IL,23 Nov 2019,L152692,S61667940,,1
251,6866,species,Horned Grebe,Podiceps auritus,1,Northwestern University (Main Campus and Lakefill),US-IL,17 Nov 2019,L152692,S61518150,,1
252,754,species,Hooded Merganser,Lophodytes cucullatus,31,Northwestern University (Main Campus and Lakefill),US-IL,17 Nov 2019,L152692,S61518150,,1
253,743,species,Common Goldeneye,Bucephala clangula,1,Northwestern University (Main Campus and Lakefill),US-IL,17 Nov 2019,L152692,S61518150,,1
254,666,species,Canvasback,Aythya valisineria,2,Northwestern University (Main Campus and Lakefill),US-IL,17 Nov 2019,L152692,S61518150,,1
255,33099,species,Fox Sparrow,Passerella iliaca,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,03 Nov 2019,L161180,S61143430,,1
256,33095,species,American Tree Sparrow,Spizelloides arborea,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,03 Nov 2019,L161180,S61143430,,1
257,32674,species,Snow Bunting,Plectrophenax nivalis,6,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,03 Nov 2019,L161180,S61143430,,1
258,8324,species,Northern Harrier,Circus hudsonius,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,03 Nov 2019,L161180,S61143430,,1
259,6192,species,Dunlin,Calidris alpina,3,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,03 Nov 2019,L161180,S61143430,,1
260,6154,species,Greater Yellowlegs,Tringa melanoleuca,2,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,03 Nov 2019,L161180,S61143430,,1
261,762,species,Common Merganser,Mergus merganser,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,03 Nov 2019,L161180,S61143430,,1
262,742,species,Bufflehead,Bucephala albeola,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,03 Nov 2019,L161180,S61143430,,1
263,28333,species,Hermit Thrush,Catharus guttatus,1,Northwestern University (Main Campus and Lakefill),US-IL,23 Oct 2019,L152692,S60862835,,1
265,27026,species,Brown Creeper,Certhia americana,1,Northwestern University (Main Campus and Lakefill),US-IL,17 Oct 2019,L152692,S60685785,,1
266,26848,species,Golden-crowned Kinglet,Regulus satrapa,16,Northwestern University (Main Campus and Lakefill),US-IL,17 Oct 2019,L152692,S60685785,,1
267,33201,species,White-throated Sparrow,Zonotrichia albicollis,1,Northwestern University (Main Campus and Lakefill),US-IL,30 Sep 2019,L152692,S60233243,,1
268,33187,species,White-crowned Sparrow,Zonotrichia leucophrys,2,Northwestern University (Main Campus and Lakefill),US-IL,30 Sep 2019,L152692,S60233243,,1
270,34159,species,Yellow-rumped Warbler,Setophaga coronata,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
271,34060,species,Cape May Warbler,Setophaga tigrina,2,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
272,33981,species,Nashville Warbler,Leiothlypis ruficapilla,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
273,33956,species,Golden-winged Warbler,Vermivora chrysoptera,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
274,33953,species,Northern Waterthrush,Parkesia noveboracensis,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
275,33946,species,Ovenbird,Seiurus aurocapilla,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
276,27329,species,Marsh Wren,Cistothorus palustris,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
277,26844,species,Ruby-crowned Kinglet,Corthylio calendula,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
278,12062,species,Merlin,Falco columbarius,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
279,6494,species,Franklin's Gull,Leucophaeus pipixcan,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
280,5811,species,Black-bellied Plover,Pluvialis squatarola,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,26 Sep 2019,L161180,S60124858,,1
282,11126,species,Yellow-bellied Sapsucker,Sphyrapicus varius,1,Northwestern University (Main Campus and Lakefill),US-IL,24 Sep 2019,L152692,S60076532,,1
283,34141,species,Black-throated Blue Warbler,Setophaga caerulescens,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
284,28324,species,Swainson's Thrush,Catharus ustulatus,2,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
285,28318,species,Gray-cheeked Thrush,Catharus minimus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
286,16949,species,Yellow-bellied Flycatcher,Empidonax flaviventris,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
287,12114,species,Peregrine Falcon,Falco peregrinus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
288,12028,species,American Kestrel,Falco sparverius,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
289,6462,species,Bonaparte's Gull,Chroicocephalus philadelphia,2,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
290,6189,species,Sanderling,Calidris alba,9,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
291,5834,species,Semipalmated Plover,Charadrius semipalmatus,7,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,14 Sep 2019,L161180,S59789400,,1
292,34148,species,Palm Warbler,Setophaga palmarum,2,Northwestern University (Main Campus and Lakefill),US-IL,08 Sep 2019,L152692,S59602377,,1
293,6539,species,American Herring Gull,Larus smithsonianus,1,Northwestern University (Main Campus and Lakefill),US-IL,08 Sep 2019,L152692,S59602377,,1
294,34346,species,Wilson's Warbler,Cardellina pusilla,2,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 Sep 2019,L161180,S59573823,,1
295,34079,species,Magnolia Warbler,Setophaga magnolia,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 Sep 2019,L161180,S59573823,,1
296,33962,species,Black-and-white Warbler,Mniotilta varia,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 Sep 2019,L161180,S59573823,,1
297,22065,species,Black-capped Chickadee,Poecile atricapillus,5,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 Sep 2019,L161180,S59573823,,1
298,19267,species,Red-eyed Vireo,Vireo olivaceus,3,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 Sep 2019,L161180,S59573823,,1
299,16963,species,Least Flycatcher,Empidonax minimus,1,"Montrose Point Bird Sanctuary, Lincoln Park",US-IL,07 Sep 2019,L161180,S59573823,,1
300,7600,species,Black-crowned Night Heron,Nycticorax nycticorax,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,28 Aug 2019,L1129017,S59326807,,1
301,6232,species,Semipalmated Sandpiper,Calidris pusilla,4,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,28 Aug 2019,L1129017,S59326807,,1
302,6227,species,Pectoral Sandpiper,Calidris melanotos,2,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,28 Aug 2019,L1129017,S59326807,,1
303,6145,species,Lesser Yellowlegs,Tringa flavipes,2,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,28 Aug 2019,L1129017,S59326807,,1
304,5468,species,Common Gallinule,Gallinula galeata,2,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,28 Aug 2019,L1129017,S59326807,,1
305,17334,species,Great Crested Flycatcher,Myiarchus crinitus,1,Conrey Rd. Bird and Butterfly Sanctuary,US-OH,16 Aug 2019,L6603494,S59025867,,1
306,6226,species,Least Sandpiper,Calidris minutilla,6,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,11 Aug 2019,L1129017,S58905143,,1
308,6855,species,Pied-billed Grebe,Podilymbus podiceps,7,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,09 Aug 2019,L1129017,S58850929,,1
310,6129,species,Solitary Sandpiper,Tringa solitaria,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,09 Aug 2019,L1129017,S58850929,,1
311,5697,species,Sandhill Crane,Antigone canadensis,2,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,09 Aug 2019,L1129017,S58850929,,1
312,5500,species,American Coot,Fulica americana,2,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,09 Aug 2019,L1129017,S58850929,,1
313,485,species,Blue-winged Teal,Spatula discors,21,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,09 Aug 2019,L1129017,S58850929,,1
314,6126,species,Spotted Sandpiper,Actitis macularius,2,Summit Park (formerly Blue Ash Airport),US-OH,06 Aug 2019,L1064897,S58787746,,1
315,34171,species,Yellow-throated Warbler,Setophaga dominica,2,"Unnamed Road, Chillicothe, Ohio, US (39.446, -83.072)",US-OH,20 Jul 2019,L9671891,S58329499,,1
316,34432,species,Summer Tanager,Piranga rubra,1,Cincinnati Nature Center--Rowe Woods,US-OH,20 Jul 2019,L322642,S58315482,,1
317,28347,species,Wood Thrush,Hylocichla mustelina,1,Cincinnati Nature Center--Rowe Woods,US-OH,18 Jul 2019,L322642,S58273454,,1
318,8487,species,Red-shouldered Hawk,Buteo lineatus,2,Glenwood Gardens,US-OH,17 Jul 2019,L324868,S58244519,,1
319,6718,species,Caspian Tern,Hydroprogne caspia,1,Northwestern University (Main Campus and Lakefill),US-IL,08 Jul 2019,L152692,S58023073,,1
320,6521,species,Ring-billed Gull,Larus delawarensis,2,Northwestern University (Main Campus and Lakefill),US-IL,08 Jul 2019,L152692,S58023073,,1
321,667,species,Redhead,Aythya americana,1,Northwestern University (Main Campus and Lakefill),US-IL,08 Jul 2019,L152692,S58023073,,1
322,17467,species,Western Kingbird,Tyrannus verticalis,2,Lady Bird Lake--Peninsula Trail,US-TX,05 Jul 2019,L2211187,S57943183,,1
323,7591,species,Yellow-crowned Night Heron,Nyctanassa violacea,1,Lady Bird Lake--Peninsula Trail,US-TX,05 Jul 2019,L2211187,S57943183,,1
324,3238,species,Yellow-billed Cuckoo,Coccyzus americanus,2,Lady Bird Lake--Peninsula Trail,US-TX,05 Jul 2019,L2211187,S57943183,,1
325,32310,species,House Finch,Haemorhous mexicanus,3,Zilker Park (HOTE 043),US-TX,04 Jul 2019,L129127,S57912668,,1
326,24081,species,Purple Martin,Progne subis,1,Zilker Park (HOTE 043),US-TX,04 Jul 2019,L129127,S57912668,,1
327,2389,species,White-winged Dove,Zenaida asiatica,3,Zilker Park (HOTE 043),US-TX,03 Jul 2019,L129127,S57893250,,1
328,19245,species,Eastern Warbling Vireo,Vireo gilvus,2,Prairie Oaks Metro Park--Darby Bend Lakes (Franklin Co.),US-OH,25 Jun 2019,L629294,S57676262,,1
329,16952,species,Willow Flycatcher,Empidonax traillii,3,Prairie Oaks Metro Park--Darby Bend Lakes (Franklin Co.),US-OH,25 Jun 2019,L629294,S57676262,,1
330,33568,species,Eastern Meadowlark,Sturnella magna,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,24 Jun 2019,L1129017,S57649469,,1
331,33002,species,Field Sparrow,Spizella pusilla,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,24 Jun 2019,L1129017,S57649469,,1
332,16924,species,Eastern Wood-Pewee,Contopus virens,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,24 Jun 2019,L1129017,S57649469,,1
333,7729,species,Great Egret,Ardea alba,1,Battelle Darby Creek Metro Park--Darby Plains Wet Prairie Restoration,US-OH,24 Jun 2019,L1129017,S57649469,,1
334,27191,species,Northern House Wren,Troglodytes aedon,1,Kiwanis Riverway Park,US-OH,21 Jun 2019,L323166,S57555488,,1
335,1274,species,Wild Turkey,Meleagris gallopavo,5,Glenwood Gardens,US-OH,18 Jun 2019,L324868,S57485317,,1
336,11900,species,Northern Flicker,Colaptes auratus,1,Withrow Nature Preserve,US-OH,14 Jun 2019,L812604,S57374782,,1
338,17472,species,Eastern Kingbird,Tyrannus tyrannus,1,Summit Park (formerly Blue Ash Airport),US-OH,14 Jun 2019,L1064897,S57365796,,1
339,34627,species,Dickcissel,Spiza americana,1,Otto Armleder Memorial Park,US-OH,12 Jun 2019,L298164,S57312460,,1
340,34028,species,Common Yellowthroat,Geothlypis trichas,2,Otto Armleder Memorial Park,US-OH,12 Jun 2019,L298164,S57312460,,1
341,33559,species,Yellow-breasted Chat,Icteria virens,1,Otto Armleder Memorial Park,US-OH,12 Jun 2019,L298164,S57312460,,1
342,33244,species,Savannah Sparrow,Passerculus sandwichensis,1,Otto Armleder Memorial Park,US-OH,12 Jun 2019,L298164,S57312460,,1
343,28037,species,Brown Thrasher,Toxostoma rufum,1,Summit Park (formerly Blue Ash Airport),US-OH,11 Jun 2019,L1064897,S57282393,,1
344,24281,species,Cliff Swallow,Petrochelidon pyrrhonota,8,Theodore Roosevelt Island,US-DC,08 Jun 2019,L718768,S57186861,,1
345,34058,species,American Redstart,Setophaga ruticilla,2,Shenandoah NP--Compton Gap,US-VA,04 Jun 2019,L5772190,S57086226,,1
346,8479,species,Broad-winged Hawk,Buteo platypterus,1,Shenandoah NP--Compton Gap,US-VA,04 Jun 2019,L5772190,S57086226,,1
347,11400,species,Downy Woodpecker,Dryobates pubescens,2,Cincinnati Nature Center--Rowe Woods,US-OH,02 Jun 2019,L322642,S56999374,,1
348,11145,species,Red-headed Woodpecker,Melanerpes erythrocephalus,2,Cincinnati Nature Center--Rowe Woods,US-OH,02 Jun 2019,L322642,S56999374,,1
349,28000,species,Gray Catbird,Dumetella carolinensis,2,Summit Park (formerly Blue Ash Airport),US-OH,01 Jun 2019,L1064897,S56957331,,1
350,34598,species,Blue Grosbeak,Passerina caerulea,1,Glenwood Gardens,US-OH,28 May 2019,L324868,S56831491,,1
351,33679,species,Orchard Oriole,Icterus spurius,1,Glenwood Gardens,US-OH,28 May 2019,L324868,S56831491,,1
352,33415,species,Eastern Towhee,Pipilo erythrophthalmus,1,Glenwood Gardens,US-OH,28 May 2019,L324868,S56831491,,1
353,29888,species,Cedar Waxwing,Bombycilla cedrorum,8,Glenwood Gardens,US-OH,28 May 2019,L324868,S56831491,,1
355,1853,species,Rock Pigeon,Columba livia,2,Myrtle Edwards Park / Centennial Park,US-WA,26 May 2019,L7497115,S56776352,N,1
356,33386,species,Spotted Towhee,Pipilo maculatus,1,Washington Park--Green Point,US-WA,23 May 2019,L1252571,S56670928,,1
357,6377,species,Rhinoceros Auklet,Cerorhinca monocerata,7,"Pear Point, San Juan Island",US-WA,22 May 2019,L6362567,S56635104,,1
358,6404,species,Pigeon Guillemot,Cepphus columba,2,Deception Pass SP -- North Beach,US-WA,22 May 2019,L962710,S56633782,,1
359,33124,species,Dark-eyed Junco,Junco hyemalis,2,"133 Brooks Lane, Friday Harbor, Washington, US (48.624, -123.15)",US-WA,22 May 2019,L9320151,S56614088,,1
360,16975,species,Western Flycatcher,Empidonax difficilis,1,"133 Brooks Lane, Friday Harbor, Washington, US (48.624, -123.15)",US-WA,22 May 2019,L9320151,S56614088,,1
361,24187,species,Barn Swallow,Hirundo rustica,6,Cattle Point,US-WA,21 May 2019,L294563,S56602908,,1
362,6931,species,Pacific Loon,Gavia pacifica,1,Cattle Point,US-WA,21 May 2019,L294563,S56602908,,1
363,24106,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,9,Jakle's Lagoon Trail,US-WA,21 May 2019,L501928,S56601422,,1
364,10306,species,Belted Kingfisher,Megaceryle alcyon,1,Jakle's Lagoon Trail,US-WA,21 May 2019,L501928,S56601422,,1
365,5827,species,Killdeer,Charadrius vociferus,1,Jakle's Lagoon Trail,US-WA,21 May 2019,L501928,S56601422,,1
366,7424,species,Double-crested Cormorant,Nannopterum auritum,1,Tulista Park,CA-BC,21 May 2019,L4770991,S56587232,,1
367,6596,species,Glaucous-winged Gull,Larus glaucescens,3,Tulista Park,CA-BC,21 May 2019,L4770991,S56587232,,1
368,4814,species,Anna's Hummingbird,Calypte anna,1,Tulista Park,CA-BC,21 May 2019,L4770991,S56584737,,1
369,21557,species,American Crow,Corvus brachyrhynchos,2,Olympic NP--Rialto Beach,US-WA,19 May 2019,L864689,S56518345,,1
370,8367,species,Bald Eagle,Haliaeetus leucocephalus,3,Olympic NP--Rialto Beach,US-WA,19 May 2019,L864689,S56518345,,1
372,21624,species,Common Raven,Corvus corax,1,"Olympic NP--Meadow Loop Trail, Hurricane Ridge",US-WA,18 May 2019,L1777266,S56983134,,1
373,1320,species,Sooty Grouse,Dendragapus fuliginosus,1,"Olympic NP--Meadow Loop Trail, Hurricane Ridge",US-WA,18 May 2019,L1777266,S56983134,,1
374,34206,species,Townsend's Warbler,Setophaga townsendi,1,Storm King Ranger station,US-WA,18 May 2019,L4140987,S56457113,,1
375,21181,species,Canada Jay,Perisoreus canadensis,5,Storm King Ranger station,US-WA,18 May 2019,L4140987,S56457113,,1
376,28126,species,Eastern Bluebird,Sialia sialis,1,Cincinnati Nature Center--Rowe Woods,US-OH,16 May 2019,L322642,S56346201,,1
377,33277,species,Song Sparrow,Melospiza melodia,2,Catalpa Creek,US-OH,10 May 2019,L9037370,S56102265,,1
378,33853,species,Common Grackle,Quiscalus quiscula,1,Catalpa Creek,US-OH,08 May 2019,L9037370,S56020972,,1
379,11427,species,Hairy Woodpecker,Leuconotopicus villosus,1,Catalpa Creek,US-OH,08 May 2019,L9037370,S56020972,,1
380,3896,species,Chimney Swift,Chaetura pelagica,4,Catalpa Creek,US-OH,08 May 2019,L9037370,S56020972,,1
381,33770,species,Baltimore Oriole,Icterus galbula,1,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
382,27348,species,Carolina Wren,Thryothorus ludovicianus,1,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
383,27123,species,Blue-gray Gnatcatcher,Polioptila caerulea,2,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
384,24064,species,Tree Swallow,Tachycineta bicolor,6,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
385,11762,species,Pileated Woodpecker,Dryocopus pileatus,1,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
386,7753,species,Great Blue Heron,Ardea herodias,2,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
387,7704,species,Green Heron,Butorides virescens,1,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
388,4802,species,Ruby-throated Hummingbird,Archilochus colubris,1,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
389,455,species,Wood Duck,Aix sponsa,1,"Sharon Woods Park, Sharonville",US-OH,06 May 2019,L592770,S55901728,,1
390,34607,species,Indigo Bunting,Passerina cyanea,2,Glenwood Gardens,US-OH,04 May 2019,L324868,S55750762,,1
391,33833,species,Brown-headed Cowbird,Molothrus ater,4,Glenwood Gardens,US-OH,04 May 2019,L324868,S55750762,,1
392,33779,species,Red-winged Blackbird,Agelaius phoeniceus,9,Glenwood Gardens,US-OH,04 May 2019,L324868,S55750762,,1
393,32990,species,Chipping Sparrow,Spizella passerina,1,Glenwood Gardens,US-OH,04 May 2019,L324868,S55750762,,1
394,8506,species,Red-tailed Hawk,Buteo jamaicensis,2,Glenwood Gardens,US-OH,04 May 2019,L324868,S55750762,,1
395,32617,species,American Goldfinch,Spinus tristis,1,Cincinnati Nature Center--Rowe Woods,US-OH,16 Apr 2019,L322642,S55018291,,1
396,26889,species,White-breasted Nuthatch,Sitta carolinensis,1,Cincinnati Nature Center--Rowe Woods,US-OH,16 Apr 2019,L322642,S55018291,,1
397,17007,species,Eastern Phoebe,Sayornis phoebe,2,Cincinnati Nature Center--Rowe Woods,US-OH,16 Apr 2019,L322642,S55018291,,1
398,11199,species,Red-bellied Woodpecker,Melanerpes carolinus,1,Cincinnati Nature Center--Rowe Woods,US-OH,16 Apr 2019,L322642,S55018291,,1
399,7815,species,Turkey Vulture,Cathartes aura,1,Cincinnati Nature Center--Rowe Woods,US-OH,16 Apr 2019,L322642,S55018291,,1
400,545,species,Mallard,Anas platyrhynchos,2,Cincinnati Nature Center--Rowe Woods,US-OH,16 Apr 2019,L322642,S55018291,,1
401,34515,species,Northern Cardinal,Cardinalis cardinalis,3,Catalpa Creek,US-OH,13 Apr 2019,L9037370,S54922704,,1
402,22160,species,Tufted Titmouse,Baeolophus bicolor,1,Catalpa Creek,US-OH,13 Apr 2019,L9037370,S54922704,,1
403,22060,species,Carolina Chickadee,Poecile carolinensis,2,Catalpa Creek,US-OH,13 Apr 2019,L9037370,S54922704,,1
404,8278,species,Cooper's Hawk,Astur cooperii,1,Catalpa Creek,US-OH,13 Apr 2019,L9037370,S54922704,,1
405,2412,species,Mourning Dove,Zenaida macroura,2,Medpace,US-OH,04 Apr 2019,L8966142,S54542011,,1
406,27813,species,European Starling,Sturnus vulgaris,1,Medpace,US-OH,03 Apr 2019,L8966142,S54514349,N,1
407,33864,species,Great-tailed Grackle,Quiscalus mexicanus,3,Rice U. Campus,US-TX,28 Mar 2019,L438238,S54312170,,1
408,21294,species,Blue Jay,Cyanocitta cristata,1,Rice U. Campus,US-TX,28 Mar 2019,L438238,S54312170,,1
